Store Number,Store Location,Address,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number,Store Hours,Wireless,Services,Latitude,Longitude
10221-99464,"Avenue 48 & Jackson, Coachella",83073 Avenue 48,,C-1,Coachella,CA,92236-9553,(760) 775-1581,Mon: 05:00:00-22:30:00 Tue: 05:00:00-22:30:00 Wed: 05:00:00-22:30:00 Thu: 05:00:00-22:30:00 Fri: 05:00:00-22:30:00 Sat: 05:00:00-22:30:00 Sun: 05:00:00-22:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,33.699228,-116.214638
10222-99070,"Riverside & I-210, Rialto",2004 North Riverside,,,Rialto,CA,92377-4600,(909) 875-8452,Mon: 04:30:00-23:00:00 Tue: 04:30:00-23:00:00 Wed: 04:30:00-23:00:00 Thu: 04:30:00-23:00:00 Fri: 04:30:00-23:00:00 Sat: 05:00:00-23:00:00 Sun: 05:00:00-23:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,34.1365,-117.37057
10223-99981,Green Valley & Francisco - El Dorad,2215 Francisco Dr,Green Valley Marketplace,160,El Dorado Hills,CA,95762-3817,(916) 941-7524,Mon: 05:00:00-20:00:00 Tue: 05:00:00-20:00:00 Wed: 05:00:00-20:00:00 Thu: 05:00:00-20:00:00 Fri: 05:00:00-20:00:00 Sat: 05:30:00-20:00:00 Sun: 05:30:00-19:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,38.710169,-121.084869
10224-99737,"La Sierra & Indiana, Riverside",3312 La Sierra Ave.,,,Riverside,CA,92503-5224,(951) 509-0648,Mon: 04:30:00-23:30:00 Tue: 04:30:00-23:30:00 Wed: 04:30:00-23:30:00 Thu: 04:30:00-23:30:00 Fri: 04:30:00-23:30:00 Sat: 04:30:00-23:30:00 Sun: 04:30:00-23:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange | Drive-Through |,33.895675,-117.470346
10225-98587,Transit Village - South San Francis,100 McLellan Dr,Transit Village,1075,South San Francisco,CA,94080-7529,(650) 952-0740,Mon: 05:00:00-20:00:00 Tue: 05:00:00-20:00:00 Wed: 05:00:00-20:00:00 Thu: 05:00:00-20:00:00 Fri: 05:00:00-20:00:00 Sat: 06:00:00-19:00:00 Sun: 06:30:00-19:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,37.66453,-122.445493
10226-98369,"Azusa & Amar, West Covina",2320 S. Azusa Avenue,,,West Covina,CA,91792-1511,(626) 964-5145,Mon: 05:00:00-23:00:00 Tue: 05:00:00-23:00:00 Wed: 05:00:00-23:00:00 Thu: 05:00:00-23:00:00 Fri: 05:00:00-23:00:00 Sat: 05:00:00-23:00:00 Sun: 06:00:00-23:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,34.034103,-117.913025
10227-100032,Blue Oaks & Lone Tree - Rocklin,6612 Lone Tree Blvd.,,,Rocklin,CA,95765-3737,(916) 773-7711,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-22:00:00 Sat: 05:30:00-22:00:00 Sun: 05:30:00-21:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,38.800405,-121.294173
10228-100277,Hwy 287 & S Boulder Rd- Lafayette,535 West South Boulder Road,Waneka Marketplace,Suite 260,Lafayette,CO,80026-2099,(303) 604-6289,Mon: 05:30:00-21:00:00 Tue: 05:30:00-21:00:00 Wed: 05:30:00-21:00:00 Thu: 05:30:00-21:00:00 Fri: 05:30:00-21:00:00 Sat: 06:00:00-21:00:00 Sun: 06:00:00-19:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,39.987486,-105.09572
10229-99170,24th & M Streets,2400 M Street NW,,,Washington,DC,20037-1494,(202) 728-0312,Mon: 06:00:00-18:00:00 Tue: 06:00:00-18:00:00 Wed: 06:00:00-18:00:00 Thu: 06:00:00-18:00:00 Fri: 06:00:00-18:00:00 Sat: 06:00:00-18:00:00 Sun: 06:00:00-18:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,38.905129,-77.051826
10231-97300,SR 436 & Howell Branch Rd,2535 Howell Branch Rd.,Casselberry Commons Shopping Center,,Casselberry,FL,32707-6553,(407) 672-0273,Mon: 05:30:00-22:30:00 Tue: 05:30:00-22:30:00 Wed: 05:30:00-22:30:00 Thu: 05:30:00-22:30:00 Fri: 05:30:00-23:30:00 Sat: 05:30:00-23:30:00 Sun: 06:30:00-22:30:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,28.625839,-81.317173
10233-99983,Colonial Blvd & Fowler St Ft Myers,4450 Fowler Street,,,FORT MEYERS,FL,33901-2617,(239) 275-0805,Mon: 05:00:00-23:00:00 Tue: 05:00:00-23:00:00 Wed: 05:00:00-23:00:00 Thu: 05:00:00-23:00:00 Fri: 05:00:00-23:00:00 Sat: 05:00:00-23:00:00 Sun: 05:30:00-22:30:00,,Drive-Through | Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,26.598315,-81.861023
10235-112366,Bloomingdale Ave & Providence Rd,6042 Winthrop Town Centre Ave.,Winthrop Town Centre,Space 326,Riverview,FL,33578-4212,(813) 654-2570,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 05:30:00-22:00:00 Sun: 05:30:00-22:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,27.8908,-82.31049
10237-98733,I-85 & US 441,30600 Hwy 441 So,,,Commerce,GA,30529-8700,(706) 423-9690,Mon: 06:00:00-21:30:00 Tue: 06:00:00-21:30:00 Wed: 06:00:00-21:30:00 Thu: 06:00:00-21:30:00 Fri: 06:00:00-22:30:00 Sat: 06:30:00-22:30:00 Sun: 06:30:00-21:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,34.256294,-83.464212
10238-100147,Crabapple Rd & Houze Rd,12330 Crabapple Rd,,,Alpharetta,GA,30004-6698,(770) 569-9451,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-23:00:00 Sat: 05:00:00-23:00:00 Sun: 05:00:00-22:00:00,,Drive-Through | Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,34.081669,-84.357931
10239-100045,Elgin-Randall Rd & Technology,2480 N. Randall Rd.,,,Elgin,IL,60123-8032,(847) 836-6304,Mon: 04:30:00-22:00:00 Tue: 04:30:00-22:00:00 Wed: 04:30:00-22:00:00 Thu: 04:30:00-22:00:00 Fri: 04:30:00-22:00:00 Sat: 05:00:00-22:00:00 Sun: 05:00:00-22:00:00,,Drive-Through | Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,42.091811,-88.336114
10240-95774,Rockville Town Square,39 Maryland Avenue,Rockville Town Center,Suite B,Rockville,MD,20850-2391,(301) 309-0478,Mon: 05:30:00-21:00:00 Tue: 05:30:00-21:00:00 Wed: 05:30:00-21:00:00 Thu: 05:30:00-21:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-21:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,39.085242,-77.151228
10241-99049,Blakeney,9820-A Rea Road,Blakeney,,Charlotte,NC,28277-6681,(704) 541-0355,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-23:00:00 Sat: 05:30:00-23:00:00 Sun: 06:00:00-22:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,35.03442,-80.805
10242-99859,"Hualapia & Desert Inn, Las Vegas",3370 S. Hualapai Way,,#H,Las Vegas,NV,89117-7709,(702) 240-3657,Mon: 05:00:00-19:00:00 Tue: 05:00:00-19:00:00 Wed: 05:00:00-19:00:00 Thu: 05:00:00-19:00:00 Fri: 05:00:00-19:00:00 Sat: 05:30:00-19:00:00 Sun: 06:00:00-19:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | Google Wi-Fi |,36.128594,-115.314566
10243-100340,"Niles, North Commons",1926 Niles- Courtland Road,,,Warren,OH,44484,(330) 544-7127,Mon: 05:30:00-00:00:00 Tue: 05:30:00-00:00:00 Wed: 05:30:00-00:00:00 Thu: 05:30:00-00:00:00 Fri: 05:30:00-00:00:00 Sat: 05:30:00-00:00:00 Sun: 05:30:00-23:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,41.217492,-80.74126
10244-99927,Polaris Amphitheater DT,2040 Polaris Parkway,Polaris Parkway Commercial Center,,Columbus,OH,43240-2007,(614) 985-5065,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 06:30:00-22:00:00,,Drive-Through | Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | Google Wi-Fi |,40.145158,-82.963408
10246-99465,377 & Wolfe Nursery Rd,2807 W. Washington,,,Stephenville,TX,76401-3706,(254) 965-1930,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,32.2204,-98.2025
10247-100353,Oconomowoc-Pabst Farms,1370 Pabst Farms Circle,,Suite 300,Oconomowoc,WI,53066-4879,(262) 567-9654,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-22:00:00 Sat: 05:00:00-22:00:00 Sun: 06:00:00-22:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,43.074349,-88.468846
10248-100069,Hwy 72 & Braly,1286 Hwy 72 East,,,Athens,AL,35611-4404,(256) 230-9385,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:30:00-22:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,34.784046,-86.94581
10249-96359,I-10 & Hwy 181,30350 State Hwy 181,,Suite A,Spanish Fort,AL,36527-5694,(251) 626-3180,Mon: 05:00:00-21:30:00 Tue: 05:00:00-21:30:00 Wed: 05:00:00-21:30:00 Thu: 05:00:00-21:30:00 Fri: 05:00:00-22:00:00 Sat: 05:00:00-22:00:00 Sun: 05:30:00-21:30:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,30.667224,-87.851784
10251-100645,California & Battery - SF,295 California Street,,,San Francisco,CA,94111-4901,(415) 986-2349,Mon: 05:00:00-19:00:00 Tue: 05:00:00-19:00:00 Wed: 05:00:00-19:00:00 Thu: 05:00:00-19:00:00 Fri: 05:00:00-19:00:00 Sat: 07:30:00-14:00:00 Sun: 00:00:00-00:00:00,Wireless Hotspot,Starbucks Reserve-Clover Brewed | Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,37.793062,-122.39976
10252-96965,I-680 & Monument - Pleasant Hill,2370 Monument Blvd.,The Crossroads at Pleasant Hill,B,Pleasant Hill,CA,94523-3964,(925) 969-0286,Mon: 04:30:00-21:30:00 Tue: 04:30:00-21:30:00 Wed: 04:30:00-21:30:00 Thu: 04:30:00-21:30:00 Fri: 04:30:00-21:30:00 Sat: 05:00:00-21:30:00 Sun: 05:00:00-21:30:00,,Oven-warmed Food | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,37.943699,-122.056982
10253-100062,Saratoga & Big Basin - Saratoga,"14410 Big Basin Way, Unit D",,,Saratoga,CA,95070-6036,(408) 741-1264,Mon: 05:00:00-20:00:00 Tue: 05:00:00-20:00:00 Wed: 05:00:00-20:00:00 Thu: 05:00:00-20:00:00 Fri: 05:00:00-20:00:00 Sat: 05:30:00-20:00:00 Sun: 05:30:00-20:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,37.25872,-122.032324
102-55,Seattle Trust,1000 Second Avenue,,,Seattle,WA,98104-1094,(206) 382-1688,Mon: 05:00:00-17:30:00 Tue: 05:00:00-17:30:00 Wed: 05:00:00-17:30:00 Thu: 05:00:00-17:30:00 Fri: 05:00:00-17:30:00 Sat: 00:00:00-00:00:00 Sun: 00:00:00-00:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,47.605351,-122.33513
10256-97305,"Washington & I-215, Colton",1241 East Washington Street,,,Colton,CA,92324-4609,(909) 783-6825,Mon: 04:30:00-23:00:00 Tue: 04:30:00-23:00:00 Wed: 04:30:00-23:00:00 Thu: 04:30:00-23:00:00 Fri: 04:30:00-23:30:00 Sat: 05:30:00-23:30:00 Sun: 05:30:00-22:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,34.048203,-117.305349
10258-97530,Coleman & Taylor - San Jose,695 Coleman Ave,San Jose Marketcenter,,San Jose,CA,95110-2091,(408) 293-2362,Mon: 05:00:00-23:00:00 Tue: 05:00:00-23:00:00 Wed: 05:00:00-23:00:00 Thu: 05:00:00-23:00:00 Fri: 04:45:00-23:00:00 Sat: 05:00:00-23:00:00 Sun: 05:00:00-23:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,37.341369,-121.911566
10259-99925,"67th Ave. & Peoria, Glendale",6649 W. Peoria Avenue,,1,Glendale,AZ,85302-1001,(623) 979-3190,Mon: 04:30:00-22:00:00 Tue: 04:30:00-22:00:00 Wed: 04:30:00-22:00:00 Thu: 04:30:00-22:00:00 Fri: 04:30:00-23:00:00 Sat: 04:30:00-23:00:00 Sun: 04:30:00-22:30:00,,Drive-Through | Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | Google Wi-Fi |,33.581363,-112.202398
10260-99460,"Alpine & South Grade, Alpine",2963 Alpine Blvd,,101,Alpine,CA,91901-2967,(619) 445-1542,Mon: 05:00:00-21:00:00 Tue: 05:00:00-21:00:00 Wed: 05:00:00-21:00:00 Thu: 05:00:00-21:00:00 Fri: 05:00:00-21:00:00 Sat: 05:00:00-21:00:00 Sun: 06:00:00-21:00:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | Google Wi-Fi |,32.833901,-116.749557
10261-100356,Franklin & Evans-Denver,1605 E Evans Ave,,,Denver,CO,80210-4608,(303) 722-2901,Mon: 05:00:00-21:00:00 Tue: 05:00:00-21:00:00 Wed: 05:00:00-21:00:00 Thu: 05:00:00-21:00:00 Fri: 05:00:00-21:00:00 Sat: 06:00:00-21:00:00 Sun: 06:00:00-21:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,39.678693,-104.968508
10262-99008,Yosemite & Maximus - Lone Tree,9222 Park Meadows Drive,,,Lone Tree,CO,80124-6711,(303) 799-8061,Mon: 04:30:00-22:00:00 Tue: 04:30:00-22:00:00 Wed: 04:30:00-22:00:00 Thu: 04:30:00-22:00:00 Fri: 04:30:00-23:00:00 Sat: 05:00:00-23:00:00 Sun: 05:00:00-22:00:00,Wireless Hotspot,Drive-Through | Starbucks Reserve-Clover Brewed | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,39.554603,-104.883978
10264-99992,"Fairfield, Boston Post Rd",1740 Boston Post Rd,,,Fairfield,CT,06824,(203) 254-2142,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-22:00:00 Sat: 05:00:00-22:00:00 Sun: 06:00:00-21:30:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,41.141437,-73.262251
10267-95176,I-75 & Jonesboro Rd,1865 Jonesboro Rd,,,McDonough,GA,30253-5914,(678) 432-0866,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:30:00-22:00:00,,Drive-Through | Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange |,33.463761,-84.218719
10268-99323,Eagle & McMillan- Meridian,4622 N Eagle Road,,,Boise,ID,83713-5267,(208) 939-2547,Mon: 05:30:00-20:30:00 Tue: 05:30:00-20:30:00 Wed: 05:30:00-20:30:00 Thu: 05:30:00-20:30:00 Fri: 05:30:00-20:30:00 Sat: 05:30:00-20:30:00 Sun: 06:00:00-20:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,43.646926,-116.353593
10269-100668,Lyons-Ogden & First,8499 W. Ogden Ave.,,,Lyons,IL,60534-1081,(708) 442-2532,Mon: 04:30:00-23:00:00 Tue: 04:30:00-23:00:00 Wed: 04:30:00-23:00:00 Thu: 04:30:00-23:00:00 Fri: 04:30:00-23:00:00 Sat: 04:30:00-23:00:00 Sun: 05:30:00-22:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,41.81576,-87.832389
10271-99778,70th & Youree,7017 Youree Drive,Kings Crossing Shopping Center,100,Shreveport,LA,71105-5108,(318) 524-1681,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:30:00 Sat: 05:30:00-22:30:00 Sun: 06:30:00-22:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,32.443078,-93.718223
10274-100438,Solomon Pond Mall,601 Donald Lynch Boulevard,Solomon Pond Mall,N143,Marlborough,MA,01752-4730,(508) 460-0756,Mon: 08:30:00-21:00:00 Tue: 08:30:00-21:00:00 Wed: 08:30:00-21:00:00 Thu: 08:30:00-21:00:00 Fri: 08:30:00-21:00:00 Sat: 08:30:00-21:00:00 Sun: 10:00:00-18:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,42.354499,-71.61492
10276-97970,Bellevue-Hwy 75 & Cornhusker Rd,10403 South 15th St,Wolf Creek Plaza,101,Bellevue,NE,68123-4448,(402) 293-2374,Mon: 05:00:00-22:00:00 Tue: 05:00:00-22:00:00 Wed: 05:00:00-22:00:00 Thu: 05:00:00-22:00:00 Fri: 05:00:00-22:00:00 Sat: 05:30:00-22:00:00 Sun: 05:30:00-22:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards |,41.15984,-95.93522
10277-100148,North Platte-I80 & S Hwy 83,2020 South Jeffers ST,,,North Platte,NE,69101-9693,(308) 534-1228,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:30:00 Sat: 05:30:00-22:30:00 Sun: 06:00:00-22:00:00,,Drive-Through | Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | Google Wi-Fi |,41.115746,-100.765043
10278-100344,Pheasant Lane Mall,310 Daniel Webster Hwy.,Pheasant Lane Mall,E281,Nashua,NH,03060-5730,(603) 897-1860,Mon: 08:00:00-21:00:00 Tue: 08:00:00-21:00:00 Wed: 08:00:00-21:00:00 Thu: 08:00:00-21:00:00 Fri: 08:00:00-21:00:00 Sat: 08:00:00-21:00:00 Sun: 10:30:00-18:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,42.700708,-71.436142
10279-100661,W. 56th & 6th,1380 Sixth Avenue,,,New York,NY,10019,(212) 977-1382,Mon: 05:30:00-23:00:00 Tue: 05:30:00-23:00:00 Wed: 05:30:00-23:00:00 Thu: 05:30:00-23:00:00 Fri: 05:30:00-00:00:00 Sat: 06:00:00-00:00:00 Sun: 06:00:00-23:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,40.763708,-73.977304
10282-100718,Pearl & Hanover,110 Pearl Street,,,New York,NY,10005-3510,(212) 482-6530,Mon: 05:30:00-21:30:00 Tue: 05:30:00-21:30:00 Wed: 05:30:00-21:30:00 Thu: 05:30:00-21:30:00 Fri: 05:30:00-21:30:00 Sat: 07:00:00-20:00:00 Sun: 07:00:00-20:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,40.704548,-74.009182
10283-100401,Northport Village,832A Fort Salonga Road,Crescent Bay Shopping Center,,Northport,NY,11768-2276,(631) 754-0840,Mon: 06:00:00-22:00:00 Tue: 06:00:00-22:00:00 Wed: 06:00:00-22:00:00 Thu: 06:00:00-22:00:00 Fri: 06:00:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:30:00-21:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,40.898545,-73.330773
10284-100403,Bayport,911 Montauk Highway,The Shoppes at Bayport,,Bayport,NY,11705-1613,(631) 472-0151,Mon: 05:30:00-20:00:00 Tue: 05:30:00-20:00:00 Wed: 05:30:00-20:00:00 Thu: 05:30:00-20:00:00 Fri: 05:30:00-20:00:00 Sat: 06:30:00-20:00:00 Sun: 06:30:00-20:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,40.748537,-73.047965
10286-100066,"Binghamton, Front Street",904 Upper Front Street,The Gardens,,Binghamton,NY,13905-1342,(607) 722-1702,Mon: 06:00:00-22:00:00 Tue: 06:00:00-22:00:00 Wed: 06:00:00-22:00:00 Thu: 06:00:00-22:00:00 Fri: 06:00:00-23:00:00 Sat: 06:00:00-23:00:00 Sun: 06:00:00-22:00:00,,Drive-Through | Oven-warmed Food | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,42.136308,-75.904447
10287-100622,Eastwood Mall,5555 Youngstown-Warren Road,Eastwood Mall,310,Niles,OH,44446-4804,(330) 544-1620,Mon: 08:30:00-21:00:00 Tue: 08:30:00-21:00:00 Wed: 08:30:00-21:00:00 Thu: 08:30:00-21:00:00 Fri: 08:30:00-21:00:00 Sat: 08:30:00-21:00:00 Sun: 09:30:00-18:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Mobile Payment | Digital Rewards | La Boulange |,41.214478,-80.751921
10288-99990,"Grove City, Stringtown Rd",1732 Stringtown Road,Parkway Centre,,Grove City,OH,43123-9049,(614) 801-2514,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 06:30:00-22:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards |,39.878536,-83.05206
10289-99991,"Worthington, Wilson Bridge & N",7176 North High Street,Wilson Bridge Retail Center,,Worthington,OH,43085-2380,(614) 846-0647,Mon: 05:30:00-21:30:00 Tue: 05:30:00-21:30:00 Wed: 05:30:00-21:30:00 Thu: 05:30:00-21:30:00 Fri: 05:30:00-21:30:00 Sat: 06:00:00-21:30:00 Sun: 06:00:00-21:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards |,40.106638,-83.016941
10290-99031,Washington Square III,9359 SW Washington Square Road,Washington Square II,T-21,Tigard,OR,97223-4495,(503) 968-9232,Mon: 06:30:00-21:00:00 Tue: 06:30:00-21:00:00 Wed: 06:30:00-21:00:00 Thu: 06:30:00-21:00:00 Fri: 06:30:00-21:00:00 Sat: 07:00:00-21:00:00 Sun: 07:00:00-19:00:00,Wireless Hotspot,Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,45.450319,-122.782309
10291-99827,Wood Village Town Center- W Village,22352 Park Lane,,"Bldg P2, Suite A",Wood Village,OR,97060-2665,(503) 465-2146,Mon: 04:00:00-22:30:00 Tue: 04:00:00-22:30:00 Wed: 04:00:00-22:30:00 Thu: 04:00:00-22:30:00 Fri: 04:00:00-22:30:00 Sat: 04:30:00-22:30:00 Sun: 04:30:00-22:30:00,,Drive-Through | Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange |,45.530036,-122.429371
10292-100157,Chambersburg,1098 East Lincoln Highway,,,Chambersburg,PA,17201-2874,(717) 263-1272,Mon: 05:30:00-21:30:00 Tue: 05:30:00-21:30:00 Wed: 05:30:00-21:30:00 Thu: 05:30:00-21:30:00 Fri: 05:30:00-22:30:00 Sat: 05:30:00-22:30:00 Sun: 06:30:00-21:30:00,,Oven-warmed Food | Verismo | Mobile Payment | Digital Rewards | La Boulange | Google Wi-Fi |,39.929612,-77.638844
10293-99852,Greengate Centre,2540 Greengate Centre Circle,Greengate Centre,,Greensburg,PA,15601-1292,(724) 853-6985,Mon: 05:30:00-22:00:00 Tue: 05:30:00-22:00:00 Wed: 05:30:00-22:00:00 Thu: 05:30:00-22:00:00 Fri: 05:30:00-22:00:00 Sat: 06:00:00-22:00:00 Sun: 06:00:00-22:00:00,Wireless Hotspot,Drive-Through | Oven-warmed Food | Wireless Hotspot | Verismo | Mobile Payment | Digital Rewards | La Boulange |,40.306359,-79.582555
