Store Number,Address,City,State,Zip Code,Phone Number,Store Hours,Gas,Diesel,Latitude,Longitude,Accuracy
1610,84 BAY ST,GLENS FALLS,NY,12801,(518) 761-0659,Open 24 hours,TRUE,FALSE,43.314191,-73.64804,STREET_ADDRESS: ROOFTOP
1611,2447 ROUTE 55,HOPEWELL JUNCTION,NY,12533,(845) 227-0196,Open 24 hours,TRUE,FALSE,41.6288773,-73.696313,STREET_ADDRESS: RANGE_INTERPOLATED
1613,1288 ROUTE 9,GANSEVOORT,NY,12831,(518) 798-4137,5 AM - 12 AM,TRUE,FALSE,43.1791856,-73.7466406,STREET_ADDRESS: RANGE_INTERPOLATED
1614,78 QUAKER ST,GRANVILLE,NY,12832,(518) 642-2489,Open 24 hours,TRUE,FALSE,43.399389,-73.265462,STREET_ADDRESS: ROOFTOP
1615,1196 CENTRAL AVE,ALBANY,NY,12205,(518) 435-1362,7 AM - 11 PM,TRUE,FALSE,42.6938727,-73.805822,STREET_ADDRESS: RANGE_INTERPOLATED
1617,251 HIGHLAND AVE,MIDDLETOWN,NY,10940,(845) 343-9259,5 AM - 12 AM,TRUE,FALSE,41.4620033,-74.4126958,STREET_ADDRESS: RANGE_INTERPOLATED
1618,1870 WESTERN AVE,ALBANY,NY,12203,(518) 862-0194,6 AM - 12 AM,TRUE,FALSE,42.692146,-73.874026,STREET_ADDRESS: ROOFTOP
1619,RT 22 & 43,STEPHENTOWN,NY,12168,(518) 733-6409,5 AM - 12 AM,TRUE,FALSE,42.547768,-73.3687091,INTERSECTION: APPROXIMATE
1620,"7582 MAIN ST, PO BOX 538",HUNTER,NY,12442,(518) 263-5015,Open 24 hours,TRUE,FALSE,42.20576,-74.202793,STREET_ADDRESS: ROOFTOP
1621,1032 ROUTE 146,CLIFTON PARK,NY,12065,(518) 383-9957,Open 24 hours,TRUE,,42.8698971,-73.8195342,STREET_ADDRESS: RANGE_INTERPOLATED
1624,18 EAST MAIN STREET,ST JOHNSVILLE,NY,13452,(518) 568-3509,Open 24 hours,TRUE,FALSE,42.999196,-74.6798699,STREET_ADDRESS: ROOFTOP
1625,76 MAIN STREET,PHILMONT,NY,12565,(518) 672-5325,5 AM - 12 AM,TRUE,FALSE,42.2487051,-73.6509287,STREET_ADDRESS: RANGE_INTERPOLATED
1626,430 RTE 9W PO BOX 337,GLENMONT,NY,12077,(518) 432-9154,5 AM - 12 AM,TRUE,,42.600637,-73.792319,STREET_ADDRESS: ROOFTOP
1659,25 CHURCH ST,HOOSICK FALLS,NY,12090,(518) 686-7183,Open 24 hours,TRUE,FALSE,42.900887,-73.352465,STREET_ADDRESS: ROOFTOP
1662,"68 ROUTE 9W, PO BOX 337",GLENMONT,NY,12077,(518) 434-0293,Open 24 hours,TRUE,,42.62106,-73.776798,STREET_ADDRESS: ROOFTOP
1670,1610 ROUND SWAMP,PLAINVIEW,NY,11803,(516) 694-9098,Open 24 hours,TRUE,,40.7798653,-73.4448897,STREET_ADDRESS: RANGE_INTERPOLATED
1671,200 S OYSTER BAY,SYOSSET,NY,11791,(516) 496-3433,Open 24 hours,TRUE,FALSE,40.7985,-73.503371,STREET_ADDRESS: ROOFTOP
1676,2477 RT 9W; PO BOX 303,RAVENA,NY,12143,(518) 756-7395,Open 24 hours,TRUE,FALSE,42.46736,-73.816652,STREET_ADDRESS: ROOFTOP
1680,50 W JERICHO TPKE,HUNTINGTON STATION,NY,11746,(631) 427-6100,Open 24 hours,TRUE,,40.828066,-73.412056,STREET_ADDRESS: ROOFTOP
1682,498 COUNTY ROAD 111,MANORVILLE,NY,11949,(631) 878-6655,Open 24 hours,TRUE,,40.848016,-72.7384565,STREET_ADDRESS: RANGE_INTERPOLATED
1683,13 COUNTY ROAD 39,SOUTHAMPTON,NY,11968,(631) 283-7257,5 AM - 12 AM,TRUE,,40.896718,-72.398908,STREET_ADDRESS: ROOFTOP
1684,29 WEST MAIN ST,FONDA,NY,12068,(518) 853-3306,Open 24 hours,TRUE,,42.954962,-74.371695,STREET_ADDRESS: ROOFTOP
2221,215 W MAIN ST,HYANNIS,MA,02601,(508) 778-7187,5 AM - 12 AM,,FALSE,41.6475639,-70.3046271,STREET_ADDRESS: ROOFTOP
2227,864 STAFFORD ROAD,FALL RIVER,MA,02721,(508) 324-1817,7 AM - 11 PM,TRUE,FALSE,41.677227,-71.154696,STREET_ADDRESS: ROOFTOP
2229,2 PEMBROKE ST,KINGSTON,MA,02364,(781) 585-2907,Open 24 hours,TRUE,FALSE,41.9954105,-70.7420328,STREET_ADDRESS: RANGE_INTERPOLATED
2232,100 SHANK PAINTER ROAD,PROVINCETOWN,MA,02657,(508) 487-3217,Open 24 hours,TRUE,FALSE,42.053437,-70.1961199,STREET_ADDRESS: ROOFTOP
2233,176 SOUTH MAIN STREET,ACUSHNET,MA,02743,(508) 998-8824,5 AM - 12 AM,,FALSE,41.680507,-70.9092679,STREET_ADDRESS: ROOFTOP
2234,596 STATE RD,WESTPORT,MA,02790,(508) 324-1578,Open 24 hours,TRUE,FALSE,41.660963,-71.0842118,STREET_ADDRESS: RANGE_INTERPOLATED
2236,"105 MAIN ST, PO BOX 318",CARVER,MA,02330,(508) 866-2657,5 AM - 12 AM,,FALSE,41.915717,-70.8024599,STREET_ADDRESS: RANGE_INTERPOLATED
2238,200 CENTER ST,MIDDLEBORO,MA,02346,(508) 946-6117,5 AM - 12 AM,TRUE,FALSE,41.8932217,-70.912468,STREET_ADDRESS: RANGE_INTERPOLATED
2244,89-95 HUTTLESON AVE.,FAIRHAVEN,MA,02719,(508) 984-1663,Open 24 hours,TRUE,FALSE,41.6444559,-70.8970149,STREET_ADDRESS: ROOFTOP
2251,1115 GAR HIGHWAY,SWANSEA,MA,02777,(508) 675-8690,Open 24 hours,TRUE,FALSE,41.754822,-71.235794,ROUTE: GEOMETRIC_CENTER
2259,169 MAIN STREET,WAREHAM,MA,02571,(508) 295-9846,5 AM - 12 AM,,FALSE,41.7575113,-70.7144788,STREET_ADDRESS: RANGE_INTERPOLATED
2262,1297 ROUTE 28,SOUTH YARMOUTH,MA,02664,(508) 760-5137,5 AM - 12 AM,,FALSE,41.6670012,-70.1889574,STREET_ADDRESS: RANGE_INTERPOLATED
2268,626 MAIN ST (RT 28),WEST YARMOUTH,MA,02673,(508) 771-6183,5 AM - 12 AM,TRUE,FALSE,41.6501114,-70.2411312,POLITICAL: APPROXIMATE
2269,16 WEST BAY RD,OSTERVILLE,MA,02655,(508) 420-8168,5 AM - 11 PM,,FALSE,41.627573,-70.383743,STREET_ADDRESS: ROOFTOP
2272,2360 CRANBERRY HIGHWAY,WEST WAREHAM,MA,02576,(508) 273-0038,Open 24 hours,TRUE,FALSE,41.7883227,-70.7505964,STREET_ADDRESS: RANGE_INTERPOLATED
2273,809 MAIN RD,WESTPORT,MA,02790,(508) 636-3965,5 AM - 12 AM,TRUE,FALSE,41.5798911,-71.0900281,STREET_ADDRESS: ROOFTOP
2275,757 ASHLEY BLVD,NEW BEDFORD,MA,02745,(508) 985-9583,Open 24 hours,TRUE,FALSE,41.680327,-70.933956,STREET_ADDRESS: ROOFTOP
2277,810 ROCKDALE AVE &KEMPTON,NEW BEDFORD,MA,02740,(508) 991-8715,Open 24 hours,TRUE,FALSE,41.6354428,-70.9490163,INTERSECTION: APPROXIMATE
2280,115 ORANGE STREET,NANTUCKET,MA,02554,(508) 228-7071,5 AM - 12 AM,,FALSE,41.275821,-70.094742,STREET_ADDRESS: ROOFTOP
2286,4548 NORTH MAIN ST,FALL RIVER,MA,02720,(508) 676-1339,Open 24 hours,TRUE,FALSE,41.756526,-71.119433,STREET_ADDRESS: ROOFTOP
2287,2012 ACUSHNET AVE,NEW BEDFORD,MA,02745,(508) 985-9593,5 AM - 12 AM,TRUE,FALSE,41.676417,-70.923001,STREET_ADDRESS: ROOFTOP
2288,68 MAIN STREET,FAIRHAVEN,MA,02719,(508) 990-9779,5 AM - 12 AM,TRUE,FALSE,41.6375521,-70.9052073,STREET_ADDRESS: RANGE_INTERPOLATED
2290,775 BROCK AVE.,NEW BEDFORD,MA,02744,(508) 984-8016,5 AM - 11 PM,TRUE,FALSE,41.611486,-70.914498,STREET_ADDRESS: ROOFTOP
2292,87 EAST GROVE ST,MIDDLEBORO,MA,02346,(508) 923-0325,Open 24 hours,TRUE,FALSE,41.8795389,-70.8985658,STREET_ADDRESS: RANGE_INTERPOLATED
2294,244 RUSSELLS MLLS RD,SOUTH DARTMOUTH,MA,02748,(508) 990-9729,5 AM - 12 AM,TRUE,FALSE,41.6027533,-70.959578,STREET_ADDRESS: RANGE_INTERPOLATED
2295,375 BARNSTABLE RD,HYANNIS,MA,02601,(508) 790-7118,5 AM - 12 AM,TRUE,FALSE,41.663204,-70.286731,STREET_ADDRESS: ROOFTOP
2296,154 SAMOSET ST,PLYMOUTH,MA,02360,(508) 830-1479,Open 24 hours,TRUE,FALSE,41.952907,-70.6853334,STREET_ADDRESS: RANGE_INTERPOLATED
2298,"435 SHORE RD, PO BOX 659",MONUMENT BCH,MA,02553,(508) 743-9314,5 AM - 11 PM,TRUE,FALSE,41.7191199,-70.613822,STREET_ADDRESS: ROOFTOP
2299,1055 WASHINGTON ST,EAST BRIDGEWATER,MA,02333,(508) 378-7446,5 AM - 12 AM,TRUE,FALSE,42.038281,-70.9215912,STREET_ADDRESS: RANGE_INTERPOLATED
2301,114 STATE ROAD,NORTH DARTMOUTH,MA,02747,(508) 997-6431,Open 24 hours,TRUE,FALSE,41.638478,-70.970119,STREET_ADDRESS: ROOFTOP
2302,160 MAIN ST,BUZZARDS BAY,MA,02532,(508) 759-1960,Open 24 hours,TRUE,FALSE,41.746392,-70.609482,STREET_ADDRESS: ROOFTOP
2304,9 LAGOON POND RD BX 1227,VINEYARD HAVEN,MA,02568,(508) 693-8729,5 AM - 12 AM,,FALSE,41.4542786,-70.6036395,POLITICAL: APPROXIMATE
2305,578 MAIN ST RTE 28,HARWICHPORT,MA,02646,(508) 430-2597,5 AM - 12 AM,TRUE,FALSE,41.6694978,-70.0591278,NEIGHBORHOOD: APPROXIMATE
2307,"PO BOX 1445, ROUTE 6",WELLFLEET,MA,02667,(508) 349-2695,5 AM - 11 PM,,FALSE,41.9309262,-70.0179039,ROUTE: GEOMETRIC_CENTER
2312,33 MAIN STREET,BRIDGEWATER,MA,02324,(508) 279-1439,Open 24 hours,TRUE,FALSE,41.9902195,-70.9754248,STREET_ADDRESS: RANGE_INTERPOLATED
2313,1 DEPOT STREET,EAST WAREHAM,MA,02538,(508) 273-0312,Open 24 hours,,FALSE,41.7597478,-70.6747069,STREET_ADDRESS: RANGE_INTERPOLATED
2314,389 ANAWAN STREET,REHOBOTH,MA,02769,(508) 252-5641,5 AM - 12 AM,TRUE,FALSE,41.8555176,-71.2387777,STREET_ADDRESS: RANGE_INTERPOLATED
2315,460 ROUTE 134,SOUTH DENNIS,MA,02660,(508) 398-2980,Open 24 hours,TRUE,FALSE,41.6922921,-70.1527366,STREET_ADDRESS: RANGE_INTERPOLATED
2317,984-N MAIN STREET,BROCKTON,MA,02301,(508) 583-1527,5 AM - 11 PM,,FALSE,42.1092192,-71.0309977,STREET_ADDRESS: RANGE_INTERPOLATED
2318,1001 PLEASANT STREET,BRIDGEWATER,MA,02324,(508) 279-1565,Open 24 hours,TRUE,FALSE,41.9715557,-71.0077899,STREET_ADDRESS: RANGE_INTERPOLATED
2319,2 MAIN ST PO BOX 693,HANSON,MA,02341,(781) 293-9379,5 AM - 12 AM,TRUE,FALSE,42.0435163,-70.842069,STREET_ADDRESS: RANGE_INTERPOLATED
2320,520 WILBUR AVE.,SWANSEA,MA,02777,(508) 677-9466,Open 24 hours,TRUE,FALSE,41.732073,-71.211853,STREET_ADDRESS: ROOFTOP
2322,3 FOSTER SQUARE,EAST BREWSTER,MA,02631,(508) 896-8871,5 AM - 12 AM,TRUE,FALSE,41.7657949,-70.0646779,STREET_ADDRESS: RANGE_INTERPOLATED
2323,1813 MAIN STREET,BROCKTON,MA,02301,(508) 427-8521,5 AM - 12 AM,TRUE,FALSE,42.0492117,-71.0110541,STREET_ADDRESS: ROOFTOP
2324,142 ROCKDALE AVE,DARTMOUTH,MA,02748,(508) 992-7503,Open 24 hours,TRUE,,41.6147742,-70.9370821,STREET_ADDRESS: ROOFTOP
2325,141 BROADWAY,TAUNTON,MA,02780,(508) 823-4905,5 AM - 12 AM,TRUE,FALSE,41.9099519,-71.0919802,STREET_ADDRESS: ROOFTOP
2326,389 WEST MAIN STREET,HYANNIS,MA,02601,(508) 790-0227,5 AM - 12 AM,TRUE,FALSE,41.6490175,-70.3109014,STREET_ADDRESS: RANGE_INTERPOLATED
2327,90 N MAIN STREET,CARVER,MA,02330,(508) 866-3980,Open 24 hours,TRUE,FALSE,41.9197738,-70.8033273,STREET_ADDRESS: ROOFTOP
2332,280 TEMPLE STREET,WHITMAN,MA,02382,(781) 447-0079,5 AM - 11 PM,TRUE,FALSE,42.0808426,-70.9474915,STREET_ADDRESS: RANGE_INTERPOLATED
2333,485 WAQUOIT HWY.,WAQUOIT,MA,02536,(508) 457-1175,5 AM - 12 AM,TRUE,FALSE,41.587318,-70.516914,STREET_ADDRESS: ROOFTOP
2337,406 WAREHAM RD.,MARION,MA,02738,(508) 748-3470,5 AM - 12 AM,TRUE,,41.7147693,-70.7707986,STREET_ADDRESS: RANGE_INTERPOLATED
2339,292 PLYMOUTH ST,HALIFAX,MA,02338,(781) 294-7235,Open 24 hours,TRUE,FALSE,41.9959706,-70.8440824,STREET_ADDRESS: RANGE_INTERPOLATED
2340,318 COUNTY STREET,TAUNTON,MA,02780,(508) 884-2955,5 AM - 12 AM,TRUE,FALSE,41.893126,-71.072059,STREET_ADDRESS: ROOFTOP
2342,797 EAST MAIN ST,FALMOUTH,MA,02540,(508) 457-1680,5 AM - 12 AM,TRUE,FALSE,41.553789,-70.6017619,STREET_ADDRESS: ROOFTOP
2346,400 FALMOUTH HWY & RT 28,EAST FALMOUTH,MA,02536,(508) 540-6136,5 AM - 12 AM,TRUE,,41.578543,-70.5589452,STREET_ADDRESS: RANGE_INTERPOLATED
2347,4 MACARTHUR BLVD.,BOURNE,MA,02532,(508) 759-6116,Open 24 hours,TRUE,,41.742258,-70.58687,STREET_ADDRESS: ROOFTOP
2348,1171 IYANNOUGH RD,HYANNIS,MA,02601,(508) 771-5360,Open 24 hours,TRUE,FALSE,41.674517,-70.3084766,STREET_ADDRESS: RANGE_INTERPOLATED
2349,1205 BELMONT STREET,BROCKTON,MA,02301,(508) 588-0272,Open 24 hours,TRUE,FALSE,42.0608003,-71.0641478,STREET_ADDRESS: RANGE_INTERPOLATED
2352,119 CRANBERRY HWY,ORLEANS,MA,02653,(508) 240-0282,5 AM - 12 AM,TRUE,FALSE,41.7871412,-69.9924968,STREET_ADDRESS: RANGE_INTERPOLATED
2353,8 NORTH MAIN STREET,WEST BRIDGEWATER,MA,02379,(508) 894-0270,Open 24 hours,TRUE,FALSE,42.0193727,-71.0082496,STREET_ADDRESS: RANGE_INTERPOLATED
2358,849 MAIN STREET,CHATHAM,MA,02633,(508) 945-8961,Open 24 hours,TRUE,FALSE,41.6852977,-69.9676157,STREET_ADDRESS: RANGE_INTERPOLATED
2365,143 BEDFORD STREET,EAST BRIDGEWATER,MA,02333,(508) 378-1329,Open 24 hours,TRUE,FALSE,42.0301885,-70.9585059,STREET_ADDRESS: RANGE_INTERPOLATED
2367,"137 CENTER ST, PO BOX 114",PEMBROKE,MA,02359,(781) 293-5426,5 AM - 12 AM,TRUE,FALSE,42.0692951,-70.8100373,STREET_ADDRESS: RANGE_INTERPOLATED
3336,377 NANTASKET AVE,HULL,MA,02045,(781) 925-9909,5 AM - 12 AM,,FALSE,42.2788898,-70.8678014,STREET_ADDRESS: RANGE_INTERPOLATED
3377,295 SALEM ST,READING,MA,01867,(781) 944-2263,6 AM - 11 PM,TRUE,FALSE,42.525612,-71.0846947,STREET_ADDRESS: RANGE_INTERPOLATED
3409,20 MAIN ST,TOPSFIELD,MA,01983,(978) 887-7036,5 AM - 10 PM,,FALSE,42.6388644,-70.9509027,STREET_ADDRESS: RANGE_INTERPOLATED
3415,805 NANTASKET AVE,HULL,MA,02045,(781) 925-4618,5 AM - 12 AM,,FALSE,42.3018211,-70.8834307,STREET_ADDRESS: RANGE_INTERPOLATED
3435,48 REVERE ST,WINTHROP,MA,02152,(617) 846-6189,5 AM - 12 AM,TRUE,FALSE,42.382175,-70.9809749,STREET_ADDRESS: RANGE_INTERPOLATED
3441,1185 WASHINGTON ST,WALPOLE,MA,02081,(508) 668-0466,5 AM - 11 PM,TRUE,FALSE,42.1313032,-71.2418666,STREET_ADDRESS: RANGE_INTERPOLATED
3450,499 WASHINGTON ST,STOUGHTON,MA,02072,(781) 341-2065,5 AM - 12 AM,TRUE,FALSE,42.1325815,-71.1017303,STREET_ADDRESS: RANGE_INTERPOLATED
3455,1340 MAIN ST,WALPOLE,MA,02081,(508) 668-0583,5 AM - 11 PM,TRUE,FALSE,42.1349303,-71.2607021,STREET_ADDRESS: RANGE_INTERPOLATED
3462,5 LIBERTY SQUARE,WEYMOUTH,MA,02190,(781) 337-8503,Open 24 hours,,FALSE,42.1632309,-70.9293182,STREET_ADDRESS: ROOFTOP
3464,309 PARK STREET,STOUGHTON,MA,02072,(781) 341-4228,5 AM - 12 AM,TRUE,FALSE,42.1201141,-71.0906082,STREET_ADDRESS: RANGE_INTERPOLATED
3471,235 SOUTH MAIN STREET,OXFORD,MA,01540,(508) 987-0858,5 AM - 12 AM,TRUE,FALSE,42.1103189,-71.865993,STREET_ADDRESS: ROOFTOP
3490,628 EAST FIFTH STREET,SOUTH BOSTON,MA,02127,(617) 268-0728,6 AM - 11 PM,,FALSE,42.334125,-71.035515,STREET_ADDRESS: ROOFTOP
3493,301 BOSTON ROAD,NORTH BILLERICA,MA,01862,(978) 670-6415,Open 24 hours,TRUE,,42.572142,-71.27825,STREET_ADDRESS: ROOFTOP
3496,120 THOREAU STREET,CONCORD,MA,01742,(978) 287-5778,5 AM - 12 AM,TRUE,FALSE,42.4560444,-71.3564474,STREET_ADDRESS: ROOFTOP
3499,831 WASHINGTON ST,BRAINTREE,MA,02184,(781) 356-4336,6 AM - 11 PM,TRUE,FALSE,42.2045633,-71.0049217,STREET_ADDRESS: RANGE_INTERPOLATED
3501,426 LOWELL AVENUE,HAVERHILL,MA,01830,(978) 373-9911,Open 24 hours,TRUE,FALSE,42.7741514,-71.1158555,STREET_ADDRESS: RANGE_INTERPOLATED
3508,188 LITTLETON ROAD,WESTFORD,MA,01886,(978) 692-3091,5 AM - 11 PM,TRUE,FALSE,42.5629688,-71.4295616,ROUTE: GEOMETRIC_CENTER
3516,31 DRUM HILL ROAD,CHELMSFORD,MA,01824,(978) 453-7872,Open 24 hours,TRUE,FALSE,42.6233183,-71.3642413,STREET_ADDRESS: RANGE_INTERPOLATED
3524,148 CHESTNUT HILL AVE,BRIGHTON,MA,02135,(617) 782-4601,6 AM - 12 AM,TRUE,FALSE,42.342021,-71.153869,STREET_ADDRESS: ROOFTOP
3529,1195 BOYLSTON ST,BROOKLINE,MA,02467,(617) 731-8380,6 AM - 12 AM,TRUE,FALSE,42.3235711,-71.1642346,STREET_ADDRESS: ROOFTOP
3531,701 SOMERVILLE AVE,SOMERVILLE,MA,02143,(617) 776-3596,6 AM - 12 AM,TRUE,FALSE,42.3856342,-71.113825,STREET_ADDRESS: RANGE_INTERPOLATED
3532,323 MAIN STREET,HAVERHILL,MA,01830,(978) 372-4155,5 AM - 12 AM,TRUE,FALSE,42.7815017,-71.0770826,STREET_ADDRESS: RANGE_INTERPOLATED
3533,1634 TURNPIKE STREET,STOUGHTON,MA,02072,(781) 297-0925,5 AM - 12 AM,TRUE,FALSE,42.153401,-71.07425,STREET_ADDRESS: ROOFTOP
3535,801 MASSACHUSETTS AVE,BOSTON,MA,02118,(617) 427-4152,Open 24 Hours,,FALSE,42.333305,-71.0734149,STREET_ADDRESS: ROOFTOP
4528,284 MAIN STREET SOUTH,SOUTHBURY,CT,06488,(203) 264-4992,5 AM - 11 PM,,FALSE,41.4736402,-73.2209416,STREET_ADDRESS: RANGE_INTERPOLATED
4555,207 SO MAIN ST,TORRINGTON,CT,06790,(860) 482-3502,Open 24 hours,TRUE,FALSE,41.79605,-73.12018,STREET_ADDRESS: ROOFTOP
4565,177 MAIN STREET,DEEP RIVER,CT,06417,(860) 526-2556,5 AM - 12 AM,TRUE,,41.3854137,-72.43561,STREET_ADDRESS: RANGE_INTERPOLATED
4567,412 LAUREL HILL AVE,NORWICH,CT,06360,(860) 886-4638,5 AM - 12 AM,TRUE,FALSE,41.5093489,-72.0754031,STREET_ADDRESS: RANGE_INTERPOLATED
4573,291 SPIELMAN HWY,BURLINGTON,CT,06013,(860) 673-6520,Open 24 hours,TRUE,FALSE,41.7702436,-72.9702528,STREET_ADDRESS: RANGE_INTERPOLATED
4590,1439 NEW LITCHFIELD RD,TORRINGTON,CT,06790,(860) 496-7974,5 AM - 12 AM,TRUE,FALSE,41.78395,-73.152536,STREET_ADDRESS: ROOFTOP
4595,171 WOODSTOCK AVE.,PUTNAM,CT,06260,(860) 928-2374,Open 24 hours,TRUE,FALSE,41.924251,-71.9178158,STREET_ADDRESS: RANGE_INTERPOLATED
4618,2090 FOXON ROAD,NORTH BRANFORD,CT,06471,(203) 488-1613,5 AM - 12 AM,TRUE,FALSE,41.335535,-72.7561888,STREET_ADDRESS: RANGE_INTERPOLATED
4619,1655 MERIDEN RD,WOLCOTT,CT,06716,(203) 879-3848,Open 24 hours,TRUE,FALSE,41.5551326,-72.9585874,STREET_ADDRESS: RANGE_INTERPOLATED
4624,705 MIGEON AVE,TORRINGTON,CT,06790,(860) 489-2865,Open 24 hours,TRUE,FALSE,41.814298,-73.1374683,STREET_ADDRESS: ROOFTOP
4630,729 HARTFORD PIKE,DAYVILLE,CT,06241,(860) 779-0536,5 AM - 12 AM,,FALSE,41.8400589,-71.8753119,STREET_ADDRESS: ROOFTOP
4632,567 WAUREGAN ROAD,DANIELSON,CT,06239,(860) 774-7588,5 AM - 12 AM,TRUE,FALSE,41.765279,-71.900487,STREET_ADDRESS: ROOFTOP
4637,215 MONTAUK AVENUE,NEW LONDON,CT,06320,(860) 442-5032,5 AM - 11 PM,TRUE,FALSE,41.3490814,-72.1072575,STREET_ADDRESS: ROOFTOP
4639,863 NORWICH NEW LONDON TP,UNCASVILLE,CT,06382,(860) 848-3421,Open 24 hours,TRUE,FALSE,41.4601945,-72.106068,POSTAL_CODE: APPROXIMATE
4642,909 QUEEN STREET,SOUTHINGTON,CT,06489,(860) 276-8786,5 AM - 12 AM,TRUE,FALSE,41.641553,-72.873677,STREET_ADDRESS: ROOFTOP
4645,1855 BERLIN TPKE,WETHERSFIELD,CT,06109,(860) 257-3916,Open 24 hours,TRUE,FALSE,41.7036749,-72.703247,STREET_ADDRESS: ROOFTOP
4650,1082 EAST MAIN ST,TORRINGTON,CT,06790,(860) 482-9566,Open 24 hours,TRUE,FALSE,41.814119,-73.0973899,STREET_ADDRESS: RANGE_INTERPOLATED
4651,109 MAIN ST,WINSTED,CT,06098,(860) 379-6630,Open 24 hours,TRUE,FALSE,41.9172677,-73.0564585,STREET_ADDRESS: RANGE_INTERPOLATED
4654,269 EAST CENTER ST,MANCHESTER,CT,06040,(860) 646-4445,5 AM - 12 AM,,FALSE,41.777858,-72.511323,STREET_ADDRESS: ROOFTOP
4657,47 NORWICH NEW LONDON TPK,QUAKER HILL,CT,06375,(860) 443-4087,5 AM - 12 AM,TRUE,FALSE,41.4606383,-72.1047123,ROUTE: GEOMETRIC_CENTER
4658,136 MAIN ST,NORWALK,CT,06851,(203) 847-2604,5 AM - 12 AM,TRUE,FALSE,41.124442,-73.416025,STREET_ADDRESS: ROOFTOP
4659,64 BROAD ST,PLAINVILLE,CT,06062,(860) 747-9186,5 AM - 12 AM,TRUE,FALSE,41.6678752,-72.8672974,STREET_ADDRESS: RANGE_INTERPOLATED
4660,194 EAST STREET,NEW BRITAIN,CT,06051,(860) 224-1686,5 AM - 11 PM,TRUE,FALSE,41.658409,-72.764643,STREET_ADDRESS: ROOFTOP
4668,527 N. MAIN STREET,NAUGATUCK,CT,06770,(203) 729-5983,Open 24 hours,TRUE,FALSE,41.5024856,-73.0466781,STREET_ADDRESS: RANGE_INTERPOLATED
4679,412 JACKSON STREET,WILLIMANTIC,CT,06226,(860) 423-5436,Open 24 hours,TRUE,FALSE,41.721146,-72.2030033,STREET_ADDRESS: RANGE_INTERPOLATED
4681,5 WAPPINGWOOD ROAD,ELLINGTON,CT,06029,(860) 871-0168,Open 24 hours,TRUE,FALSE,41.8670661,-72.4933792,STREET_ADDRESS: RANGE_INTERPOLATED
4682,141 PARK ROAD,WEST HARTFORD,CT,06119,(860) 232-8061,5 AM - 12 AM,TRUE,FALSE,41.757447,-72.721135,STREET_ADDRESS: ROOFTOP
4685,191 CENTRAL ST,FORESTVILLE,CT,06010,(860) 589-2576,5 AM - 12 AM,TRUE,FALSE,41.6742338,-72.8982449,STREET_ADDRESS: RANGE_INTERPOLATED
4687,1087 OLD COLONY RD,MERIDEN,CT,06450,(203) 639-0923,5 AM - 12 AM,TRUE,FALSE,41.5683673,-72.7791309,STREET_ADDRESS: RANGE_INTERPOLATED
4689,273 MITCHELL STREET,GROTON,CT,06340,(860) 449-1846,Open 24 hours,TRUE,FALSE,41.349602,-72.0765009,STREET_ADDRESS: ROOFTOP
4690,1588 WATERTOWN AVE,WATERBURY,CT,06708,(203) 756-2650,5 AM - 12 AM,TRUE,FALSE,41.584183,-73.074618,STREET_ADDRESS: ROOFTOP
4693,33 POMPEY HOLLOW ROAD,ASHFORD,CT,06278,(860) 429-8074,Open 24 hours,TRUE,FALSE,41.8628762,-72.1630977,STREET_ADDRESS: ROOFTOP
4694,82 SOUTH MAIN ST,THOMASTON,CT,06787,(860) 283-6429,Open 24 hours,TRUE,FALSE,41.670626,-73.077021,STREET_ADDRESS: ROOFTOP
4698,184 MAIN ST,BALTIC,CT,06330,(860) 822-1541,5 AM - 12 AM,TRUE,FALSE,41.6132506,-72.0751057,STREET_ADDRESS: ROOFTOP
4699,"859 RIVERSIDE DR, BOX 826",NORTH GROSVENORDALE,CT,06255,(860) 923-3133,5 AM - 12 AM,TRUE,FALSE,41.9856531,-71.8986833,NEIGHBORHOOD: APPROXIMATE
4704,819 RIVER RD.,SHELTON,CT,06484,(203) 929-5335,Open 24 hours,TRUE,FALSE,41.2621242,-73.0954562,STREET_ADDRESS: RANGE_INTERPOLATED
4707,204 MARLBOROUGH STREET,PORTLAND,CT,06480,(860) 342-4450,5 AM - 12 AM,TRUE,FALSE,41.570001,-72.632078,STREET_ADDRESS: ROOFTOP
4708,69 RUBBER AVE,NAUGATUCK,CT,06770,(203) 729-2960,Open 24 hours,TRUE,FALSE,41.4871192,-73.0570629,STREET_ADDRESS: RANGE_INTERPOLATED
4709,464 RIVER RD,SHELTON,CT,06484,(203) 924-2617,5 AM - 12 AM,TRUE,FALSE,41.2896331,-73.076356,STREET_ADDRESS: ROOFTOP
4710,723 WOLCOTT RD,WOLCOTT,CT,06716,(203) 879-1734,Open 24 hours,TRUE,FALSE,41.6017013,-72.9865051,STREET_ADDRESS: RANGE_INTERPOLATED
4713,937 BROAD ST,MERIDEN,CT,06450,(203) 686-0352,Open 24 hours,TRUE,FALSE,41.544147,-72.784323,STREET_ADDRESS: ROOFTOP
4716,5 PERSHING DR,ANSONIA,CT,06401,(203) 732-4483,Open 24 hours,TRUE,FALSE,41.33318,-73.084211,STREET_ADDRESS: ROOFTOP
